slug,canonical_name,cohort,current_image_state,current_image_host,commons_verdict,commons_file_page,commons_pixel_url,licence,attribution_required,attribution_string,width,height,background,crop_risk,model_evidence,review_state,notes
roland-juno-106,Roland Juno-106,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Roland-Juno-106.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/Roland-Juno-106.jpg,Public domain (PD-self),no,Courtesy: Iainf,1252,400,plain,high_wide_3.13:1,Panel prints JUNO-106 with the LFO/DCO/HPF/VCF/VCA/ENV/CHORUS slider row unique to the 106,proposed,No attribution burden. Resolution thin for a hero.
roland-juno-60,Roland Juno-60,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Roland_Juno-60.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Roland_Juno-60.jpg,CC BY-SA 2.0,yes,original Ville Hyvönen; derivative Shoulder-synth,1200,440,retouched_near_white,high_wide_2.73:1,Panel prints JUNO-60 plus the memory bank the Juno-6 lacks - the decisive separation from Juno-6,proposed,Keyboard-stand legs left in the retouch.
roland-sh-101,Roland SH-101,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Roland_SH-101.jpg,https://upload.wikimedia.org/wikipedia/commons/9/92/Roland_SH-101.jpg,CC BY 2.0,yes,eternal jamzzzz,3072,2304,sheepskin_rug,low_1.33:1,Panel prints Roland SH-101,proposed,High resolution but an odd background.
roland-re-201,Roland RE-201 (Space Echo),has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:RE201_Face.JPG,https://upload.wikimedia.org/wikipedia/commons/f/fb/RE201_Face.JPG,Public domain (PD-self),no,Courtesy: Bdjames,2592,1944,white_porch_railing,low_1.33:1,Panel prints SPACE ECHO RE-201 - correctly distinct from the RE-501,proposed,No attribution burden. PAN-110 names this product as a weathered-planks seller photo today.
roland-jupiter-4,Roland Jupiter-4,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Roland_Jupiter-4.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Roland_Jupiter-4.jpg,CC0 1.0,no,none,1024,413,storage_room,high_wide_2.48:1,Panel prints JUPITER-4 COMPUPHONIC,proposed,CC0 - fully free to retouch.
gibson-hummingbird,Gibson Hummingbird,has_image,has_image,unsplash_hotlink,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Gibson-Hummingbird.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5f/Gibson-Hummingbird.jpg,CC BY 3.0,yes,de:User:Guitarpimp,2000,3000,white_wall,high_tall_0.67:1,Engraved hummingbird/floral pickguard confirms the model; description Gibson Hummingbird 1968,proposed,Current hero is an Unsplash hotlink. Close to catalogue quality.
gibson-j-45,Gibson J-45,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Gibson_J-45_(by_Jim_Hutcheson).jpg,https://upload.wikimedia.org/wikipedia/commons/e/e7/Gibson_J-45_%28by_Jim_Hutcheson%29.jpg,CC BY 2.0,yes,Jim Hutcheson,1440,2160,white_wall,high_tall_0.67:1,"Round-shoulder dreadnought, sunburst, teardrop pickguard - consistent with J-45",proposed,Guitar on a stool.
arp-2600,ARP 2600,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:ARP_2600%2C_PNW_SynthFest_2013.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/ARP_2600%2C_PNW_SynthFest_2013.jpg,CC BY-SA 2.0,yes,Daniel Spils,3648,2736,trade_show_table,low_1.33:1,Panel prints ARP MODEL 2600 SYNTHESIZER with the 3620 keyboard,proposed,Would not ship: open laptop and cable spaghetti in frame.
emu-sp-1200,E-mu SP-1200,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:E-mu_SP-1200_front_of_machine.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2b/E-mu_SP-1200_front_of_machine.jpg,Public domain (PD-self),no,Courtesy: 2xUeL,3264,2448,living_room,low_1.33:1,Front bezel prints SP 1200 and E-mu Systems Inc.,proposed,"Would not ship: steep oblique angle, leather sofa behind."
moog-minimoog,Moog Minimoog,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Minimoog_Model_D_Synthesizer_at_SMEM_Playroom.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Minimoog_Model_D_Synthesizer_at_SMEM_Playroom.jpg,CC BY 4.0,yes,1904.CC,4032,3024,workshop_bench,low_1.33:1,Model NOT in the description text; confirmed visually from Moog Music badge and CONTROLLERS/OSCILLATOR BANK/MIXER/MODIFIERS/OUTPUT panel plus display placard,proposed,Would not ship: cables and placard in frame. Clean PD alternative File:Minimoog.JPG is only 596x344.
gibson-les-paul-custom,Gibson Les Paul Custom,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:1974_Gibson_Les_Paul_Custom.JPG,https://upload.wikimedia.org/wikipedia/commons/5/52/1974_Gibson_Les_Paul_Custom.JPG,CC BY-SA 3.0,yes,Ibanez Guy at English Wikipedia,2134,2848,dim_room,high_tall_0.75:1,"Black finish, block inlays, gold hardware, multi-ply binding; description 1974 Gibson Les Paul Custom",proposed,Would not ship: guitar case and cables in frame.
roland-juno-6,Roland Juno-6,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Roland_Juno-6_-_Doomsday_Studio_(2015-04-03_21.36.31_by_Klara_Kopf)_(cropped).jpg,,CC BY 2.0,yes,Klara Kopf,1312,822,cluttered_home_studio,medium_wide_1.60:1,Badge reads JUNO-6 and POLYPHONIC SYNTHESIZER JU-6,proposed,"Would not ship: dark, oblique, cluttered."
roland-re-501,Roland RE-501 (Chorus Echo),has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:RE-501.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/RE-501.jpg,Public domain (PD-self),no,Courtesy: Clunkbox,757,432,plain,high_wide_1.75:1,Panel prints CHORUS ECHO RE-501 - correctly distinct from RE-201,proposed,Would not ship on resolution alone. PAN-110 names this product explicitly.
sequential-prophet-5,Sequential Prophet-5,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:SCI_Prophet_5.jpg,https://upload.wikimedia.org/wikipedia/commons/7/73/SCI_Prophet_5.jpg,Public domain (PD-user-w),no,Courtesy: CPRdave; derivative by Clusternote,1554,684,plain,high_wide_2.27:1,Single-manual wood-cheeked Prophet-5 - correct model,rejected,REJECT: nominal size is an upscale of a 386x163 parent and the page carries a blurry objection template. Worthless resolution.
fender-mustang-bass,Fender Mustang Bass,has_image,has_image,supabase_storage,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Mustang_Bass_1971_sml.jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/Mustang_Bass_1971_sml.jpg,CC BY-SA 3.0,yes,en:User:Mfretton,168,425,isolated_white,high_tall_0.40:1,Description 1971 Mustang Bass,rejected,REJECT: cleanest composition in the whole set but a 168px thumbnail. Rest of the category is Fender Japan CIJ reissues and a Pawn Shop model - wrong variants.
neumann-u87ai,Neumann U 87 Ai,has_image,has_image,supabase_storage,FAMILY_ONLY,https://commons.wikimedia.org/wiki/File:Neumann_U87.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Neumann_U87.jpg,CC BY-SA 3.0 (also GFDL),yes,PJ,251,547,clean_white,high_tall_0.46:1,"WRONG VARIANT - verified in pixels: body stamped MADE IN WESTERN GERMANY; description dates it to September 1971. That is the original U 87, not the U 87 Ai (1986)",blocked_wrong_variant,A filename check would have shipped this. Rest of the category is in-use studio photos.
gibson-sj-200-original,Gibson SJ-200 Original,has_image,has_image,supabase_storage,FAMILY_ONLY,https://commons.wikimedia.org/wiki/File:Gibson_SJ200.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/Gibson_SJ200.jpg,CC BY 3.0 (also GFDL),yes,Gibb Stutz,3456,4608,garden_fence,high_tall_0.75:1,"Description says SJ-200 Standard and is dated 2014, before Gibson split the line into Original and Modern collections. Family proven, Original variant not",blocked_family_only,"Good photo, wrong variant claim."
ua-1176ln,Universal Audio 1176LN,has_image,has_image,supabase_storage,FAMILY_ONLY,https://commons.wikimedia.org/wiki/File:UREI_1176LN_(Silver)_x6.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/UREI_1176LN_%28Silver%29_x6.jpg,CC BY-SA 2.0,yes,Ville Hyvönen,1944,2592,cluttered_workshop,high_tall_0.75:1,"Six UREI-branded silver-face units stacked. Right lineage, wrong branding for a Universal Audio 1176LN page, and not a single-unit shot",blocked_family_only,Everything else in Category:1176_Peak_Limiter is a studio rack.
tube-tech-cl1b,Tube-Tech CL 1B,has_image,has_image,supabase_storage,FAMILY_ONLY,https://commons.wikimedia.org/wiki/Category:Tube-Tech_CL1B_Compressor,,,,,,,,,Category holds only three wide studio-rack photos in which the CL 1B is one box among many. No standalone unit photograph,blocked_family_only,No usable candidate.
ampex-atr-700,Ampex ATR-700,has_image,has_image,supabase_storage,NO_CANDIDATE,,,,,,,,,,"Nothing on Commons. Category:Ampex_reel_to_reel_tape_recorders has ATR-100/ATR-102 and 300/440/601 machines, no ATR-700",blocked_no_candidate,
manley-voxbox,Manley VOXBOX,has_image,has_image,supabase_storage,NO_CANDIDATE,,,,,,,,,,No Manley Laboratories category exists on Commons at all,blocked_no_candidate,
moog-source,Moog Source,has_image,has_image,supabase_storage,NO_CANDIDATE,,,,,,,,,,Category:Moog_Source holds only a 1131x190 rear-panel crop and the concert photo it derives from. No front panel,blocked_no_candidate,
tube-tech-lca-2b,Tube-Tech LCA 2B,has_image,has_image,supabase_storage,NO_CANDIDATE,,,,,,,,,,No files. Adjacent Category:Tube-Tech_LCA_2A is both the wrong model and mis-populated with Teletronix LA-2A rack photos,blocked_no_candidate,Do not let the 2A/2B near-match through.
fender-jim-root-jazzmaster,Fender Jim Root Jazzmaster,has_image,has_image,supabase_storage,NO_CANDIDATE,,,,,,,,,,Category 404s. Category:Fender_Jim_Root_Telecaster exists but is a different instrument; a generic Jazzmaster is the wrong model,blocked_no_candidate,"Jim Root spec is flat black, two humbuckers, hardtail, no rhythm circuit."
fender-american-ultra-ii-telecaster,Fender American Ultra II Telecaster,has_image,has_image,supabase_storage,NO_CANDIDATE,,,,,,,,,,"Nothing. Category:Fender_Telecaster has American Professional II, American Deluxe, American Elite and Custom Shop subcategories but no Ultra or Ultra II",blocked_no_candidate,
sequential-prophet-10,Sequential Prophet-10,has_image,has_image,supabase_storage,NO_CANDIDATE,,,,,,,,,,"Only whole-instrument file is File:Sequential_Prophet_10_Rev_4.png - the single-manual 2020 reissue, which the product row explicitly excludes. Other files are internals",blocked_wrong_variant,The second near-miss a filename check would have shipped.
rhodes-mark-i-stage-73,Rhodes Mark I Stage 73,no_image,NO_IMAGE,,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Rhodes_Mark_I_73_Stage_Piano_pic_3.jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Rhodes_Mark_I_73_Stage_Piano_pic_3.jpg,Public domain (PD-self),no,Courtesy: Fetz at German Wikipedia,640,427,domestic_kitchen_rug,low_1.50:1,Verified in pixels: Rhodes MARK I nameplate; two-knob BASS BOOST/VOLUME Stage panel (a Suitcase has a full preamp); Seventy Three lid script; on legs with no speaker cabinet. All three axes proven,proposed,"No attribution burden. Small and a domestic snapshot, but every axis is provable."
rhodes-mark-i-suitcase-73,Rhodes Mark I Suitcase 73,no_image,NO_IMAGE,,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:1977_Rhodes_Mark_I_Suitcase_Piano_73-key_(serial_no._K610578)_(2005-01-29_09.27.49_by_Daniel_Spils).jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/1977_Rhodes_Mark_I_Suitcase_Piano_73-key_%28serial_no._K610578%29_%282005-01-29_09.27.49_by_Daniel_Spils%29.jpg,CC BY 2.0,yes,"Daniel Spils from Seattle, USA",1280,960,plain_wall,low_1.33:1,Verified in pixels: sits on its speaker cabinet with grille cloth (Suitcase); full Suitcase preamp with TREBLE/BASS sliders and VIBRATO INTENSITY/SPEED; Seventy Three lid badge; rounded Mark I lid profile. All axes proven,proposed,Best Rhodes product shot. One flaw: a cable is draped over the bass end.
rhodes-mark-ii-stage-73,Rhodes Mark II Stage 73,no_image,NO_IMAGE,,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:RhodesMkII73.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/RhodesMkII73.jpg,CC BY-SA 3.0 (also GFDL),yes,en:user:Jcsutton,480,386,plain_wall,low_1.24:1,"Verified in pixels: name rail literally prints MARK II ... STAGE PIANO ... Rhodes, lid badge Seventy Three, flat Mark II lid, four legs no cabinet. Self-evidencing on all three axes",proposed,"Most self-evidencing image in the set, but only 480x386. Detail alternative File:Rhodes_Mark_II_Stage_Piano.jpg is 2592x1093 CC BY-SA 4.0 but a name-rail crop that cannot prove key count."
rhodes-mark-i-stage-88,Rhodes Mark I Stage 88,no_image,NO_IMAGE,,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Rhodes_MkI_Stage_88_1970.jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/Rhodes_MkI_Stage_88_1970.jpg,CC BY-SA 4.0,yes,Docrobbie,557,600,studio_grey_seamless,low_0.93:1,Mark I nameplate and two-knob Stage panel verified in pixels; chrome legs and no speaker cabinet. KEY COUNT NOT PROVABLE - at 557px the keys cannot be counted and the lid badge is not crisply legible. The 88 rests on the uploader's own caption,proposed,"Best-composed Rhodes on Commons (studio seamless). Accept owner attestation for the key count, or abstain."
fender-telecaster-custom,Fender Telecaster Custom,no_image,NO_IMAGE,,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:TeleCustom_76_horiz.jpg,https://upload.wikimedia.org/wikipedia/commons/2/22/TeleCustom_76_horiz.jpg,Public domain (PD-self),no,Courtesy: GEisenhut at English Wikipedia,1250,414,clean_white_cutout,high_wide_3.02:1,"Verified in pixels: headstock decal legibly reads Fender TELECASTER Custom; Wide Range humbucker at neck, Tele single-coil at bridge, four knobs, black body, maple neck - the 1972-onward Custom spec",proposed,"NEEDS A PRODUCT DECISION FIRST: Commons separates Category:Fender_Telecaster_Custom (1972-81, humbucker) from Category:Fender_Custom_Telecaster (1959-68, bound body). This candidate is the former. Clean cut-out, PD, no attribution."
fender-telecaster-thinline,Fender Telecaster Thinline,no_image,NO_IMAGE,,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Fender_72_Telecaster_Thinline.png,https://upload.wikimedia.org/wikipedia/commons/5/52/Fender_72_Telecaster_Thinline.png,CC BY 3.0 (also GFDL),yes,Matt Eason,369,1078,transparent_alpha_cutout,high_tall_0.34:1,"Verified in pixels: two Wide Range humbuckers, pearloid pickguard, single f-hole, natural ash - the '72 Thinline spec, ruling out the 1968/'69 two-single-coil Thinline",proposed,NEEDS A GENERATION DECISION: '69 vs '72 vs modern reissue are distinct models and the slug carries no year. Real alpha channel - the most product-page-ready asset in the no-image cohort.
gibson-les-paul-special,Gibson Les Paul Special,no_image,NO_IMAGE,,PROVEN_MODEL,https://commons.wikimedia.org/wiki/File:Gibson_Les_Paul_Special_1998_Spearmint.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/Gibson_Les_Paul_Special_1998_Spearmint.jpg,CC BY-SA 3.0,yes,A Gibson Man,1536,2048,crumpled_white_cloth,high_tall_0.75:1,"Verified in pixels: two P-90 soapbars, unbound single-cut body, dot inlays, RHYTHM/TREBLE toggle ring, tune-o-matic and stopbar. Two soapbars rule out the Junior (one P-90); unbound body and dot inlays rule out Standard/Custom",proposed,"QUALIFIED: body-only crop, no headstock, so the model name is not readable in the pixels. Residual risk - a Les Paul Junior Special also carries two P-90s. Proof rests on the owner-author description plus spec elimination."
wurlitzer-200a,Wurlitzer 200A,no_image,NO_IMAGE,,FAMILY_ONLY,https://commons.wikimedia.org/wiki/File:Wurlitzer_200A_-1.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Wurlitzer_200A_-1.jpg,CC BY-SA 4.0,yes,I99pema,3994,2663,white_panelled_wall_parquet,low_1.50:1,"Verified in pixels: nameplate reads only WURLITZER / electronic piano with the crest. NO MODEL NUMBER anywhere on the visible exterior. The 200 (1968-74) and 200A (1974-82) share case, covering, knobs, grilles and legs; the documented differences are internal",blocked_family_only,"Highest-resolution clean single-instrument shot in the whole study, and the weakest evidence. The 200A claim rests entirely on the uploader's assertion. Owner may choose to accept owner-attestation; the photograph proves only a Wurlitzer 200-series."
gibson-es-335-dot,Gibson ES-335 Dot,no_image,NO_IMAGE,,FAMILY_ONLY,https://commons.wikimedia.org/wiki/File:Gibson_ES-335_sunburst.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/Gibson_ES-335_sunburst.jpg,CC BY-SA 3.0 (also GFDL),yes,Federico.Gallerani,1361,2212,isolated_white,high_tall_0.62:1,"Description says only Gibson ES-335 guitar sunburst finish. Dot fingerboard inlays are visible, but 1958-62 vintage ES-335TDs and several Custom Shop reissues also carry dot inlays. Proves the family, not the Dot model",blocked_family_only,"Best guitar product shot found - full guitar, isolated on white, straight-on. The one file Commons explicitly labels DOT is a retail shop rack with five-plus guitars and is unusable."
fender-american-professional-ii-stratocaster,Fender American Professional II Stratocaster,no_image,NO_IMAGE,,NO_CANDIDATE,,,,,,,,,,"Category 404s. Category:Fender_Stratocaster has 47 subcategories, none an American Professional of either generation. Commons holds exactly one American Professional II file of any kind, and it is a Telecaster Deluxe",blocked_no_candidate,Do not substitute a generic Strat - American Professional II is a specific 2020- run.
fender-american-standard-telecaster,Fender American Standard Telecaster,no_image,NO_IMAGE,,NO_CANDIDATE,,,,,,,,,,"Category 404s. Note the asymmetry: Category:Fender_American_Standard_Stratocaster exists with 5 files, the Telecaster equivalent does not. Nearest files are a modified American Telecaster (aftermarket Callaham bridge) and a MIM Standard - a different production run",blocked_no_candidate,The only product in the whole study with zero listing-photo evidence too (PAN-76 manifest).
gibson-les-paul-standard-50s,Gibson Les Paul Standard '50s,no_image,NO_IMAGE,,NO_CANDIDATE,,,,,,,,,,"Category 404s. Category:Gibson_Les_Paul_Standard has 33 subcategories but nothing for the 2019-onward '50s/'60s split. Best family file is dated 2007, predating the models entirely",blocked_unprovable,STRUCTURALLY UNPROVABLE: '50s and '60s differ chiefly by neck profile. No photograph can prove which one it is. Do not let a generic Les Paul Standard file attach to either slug.
gibson-les-paul-standard-60s,Gibson Les Paul Standard '60s,no_image,NO_IMAGE,,NO_CANDIDATE,,,,,,,,,,"See '50s. Same category gap, same structural problem",blocked_unprovable,STRUCTURALLY UNPROVABLE - see '50s. These two are the clearest mutual-confusion risk in the catalogue.
