candidate_id,gross_list_status,gross_list_name,canonical_product_id,slug,brand,model,family,current_status,provisional_decision,final_decision,decision_change_reason,rank,score,confidence,trusted_active_total,safe_proposal_total,source_count,price_evidence,matchability_risk,variant_decision,query_readiness,main_reason,promotion_or_removal_trigger,evidence_basis,candidate_origin,hierarchy_role,kg_status,matcher_guard_conflict,lexical_clean_hits,lexical_nordic_de_hits
CAND-0011,exact_match,Roland SH-101,52a95e16-0211-44d5-8c02-21a4a7e28fb3,roland-sh-101,Roland,SH-101,Vintage synthesizers,legendary/public,core,core,"Retained. Gross-list family ""Roland SH-101"".",16,74,medium,3,56,5,"median 9069 DKK (p25 405 / p75 11537, n=55)",44 deferrals (ambiguous_tie:39 non_product_intent:2); 0 rejected,Single page. Exclude SH-01/SH-01A (Boutique) and SH-4d.,Incumbent query on all four marketplace scrapers.,Only 5-source mono-synth in the set; 55 records.,p25 remaining below 20% of median after parts exclusions tighten.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0012,variant_split,Rhodes Mark I / Mark II / Mark V Stage,370d7660-dd92-4cab-84dc-eabbc38f7b26,rhodes-mark-ii-stage-73,Rhodes,Mark II Stage 73,Electric pianos,legendary/public,core,core,"Retained. Gross-list family ""Rhodes Mark I / Mark II / Mark V Stage"".",19,73,medium,9,2,5,"median 24831 DKK (p25 22750 / p75 42016, n=8)",0 deferrals; 0 rejected,"Mark II (1980-) Stage, 73 keys. Distinct generation from Mark I.","Incumbent query on all four marketplace scrapers. No CSP, no subcategory.",The only 5-source product with ZERO deferrals and ZERO rejections.,Fewer than 5 active records for 90 days.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0013,variant_split,Neumann U87 / U87 Ai,a7e63634-c60e-40bc-aa7f-5c1b918d8b7a,neumann-u87ai,Neumann,U 87 Ai,Studio microphones,standard/qa_only,core,core,"Retained. Gross-list family ""Neumann U87 / U87 Ai"".",20,72,medium,25,51,1,"median 16843 DKK (p25 14576 / p75 21378, n=76)",0 deferrals; 12 rejected,U 87 Ai (1986-) ONLY; the vintage U 87/U87i is a different circuit and price. DUPLICATE KG ROW neumann-u87-ai (T12/S11) must be consolidated before launch - evidence is currently split across two rows.,Not an incumbent. Reverb-only. Needs a query seed.,"76 records, 14.6k-21.4k band and ZERO deferrals. Best microphone candidate.","Duplicate row not consolidated, or vintage U 87 leakage above 10%.","gross_list+klup_trusted+klup_dryrun+single_source_only+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0014,exact_match,Roland Juno-6,c9dad2ee-9386-41e2-89d5-be25d0ff79d0,roland-juno-6,Roland,Juno-6,Vintage synthesizers,standard/qa_only,core,core,"Retained. Gross-list family ""Roland Juno-6"".",21,72,medium,8,22,3,"median 16424 DKK (p25 12000 / p75 19162, n=30)",51 deferrals (ambiguous_tie:50 non_product_intent:1); 0 rejected,Split from Juno-60/106.,Not an incumbent; DBA/Finn evidence incidental. Needs its own query seed.,Tight 12.0k-19.2k band across 3 sources; completes the Juno family.,Ambiguous ties against Juno-60/106 above 25% of proposals.,"gross_list+klup_trusted+klup_dryrun+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0015,variant_split,Rhodes Mark I / Mark II / Mark V Stage,8d38e57e-1960-452f-981c-777fe4c89c9d,rhodes-mark-i-stage-73,Rhodes,Mark I Stage 73,Electric pianos,legendary/public,core,core,"Retained. Gross-list family ""Rhodes Mark I / Mark II / Mark V Stage"".",23,71,medium,7,8,2,"median 28683 DKK (p25 21605 / p75 33525, n=14)",0 deferrals; 1 rejected,"Passive Stage, 73 keys. External evidence: Suitcase adds amp+cabinet - a real price and portability difference.","Incumbent query. No CSP, no subcategory.","Zero deferrals, 21.6k-33.5k band.",Fewer than 5 active records for 90 days.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0016,exact_match,Roland RE-501 / SRE-555 Chorus Echo,7861124f-5e67-4c2c-916d-170577cee116,roland-re-501,Roland,RE-501,Tape echo & effects,standard/qa_only,core,core,"Retained. Gross-list family ""Roland RE-501 / SRE-555 Chorus Echo"".",24,71,medium,15,7,3,"median 17586 DKK (p25 14440 / p75 20530, n=22)",1 deferrals (shared_identifier_conflict:1); 8 rejected,RE-501 Chorus Echo. SRE-555 is the rack sibling in the same gross-list family; alias needs review before merging.,Not an incumbent; DBA/Finn evidence incidental. 16 curated aliases exist.,"22 records, 14.4k-20.5k band, one deferral.",Supply below 8 for 90 days.,"gross_list+klup_trusted+klup_dryrun+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0017,variant_split,Roland TR-707 / TR-727,df0e0d26-c129-4cab-bc8c-121b5b1e7246,roland-tr-707,Roland,TR-707,Drum machines & samplers,standard/qa_only,core,core,"Retained. Gross-list family ""Roland TR-707 / TR-727"".",27,70,medium,24,17,3,"median 5363 DKK (p25 4528 / p75 7016, n=41)",1 deferrals (ambiguous_tie:1); 41 rejected,"SPLIT from TR-727 (different voice set, different buyer). Distinct from TR-06 Boutique.",Not an incumbent; Blocket/Finn evidence incidental. Needs its own query seed.,"Clean 4.5k-7.0k band, 41 records, 3 sources.",Supply below 10 for 90 days.,"gross_list+klup_trusted+klup_dryrun+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0018,variant_split,Moog Minimoog Model D,3f50f49b-7af3-464d-8494-b76e49327b84,moog-model-d,Moog,Model D,Vintage synthesizers,standard/qa_only,core,core,"Retained. Gross-list family ""Moog Minimoog Model D"" (variant split).",28,69,medium,42,0,1,"median 50185 DKK (p25 34327 / p75 70389, n=42)",3 deferrals (ambiguous_tie:2 non_product_intent:1); 22 rejected,2016 REISSUE only. Sibling of moog-minimoog; neither may absorb the other.,Not an incumbent. Reverb-only. Needs a query seed.,"42 trusted records, 50.2k median. Exists so the vintage page is not polluted by reissue prices.",Cannot be distinguished from the vintage page in practice.,"gross_list+klup_trusted+klup_dryrun+single_source_only+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0019,variant_split,Wurlitzer 200 / 200A / 204,a263f97e-4c70-4f54-863c-0e4071e32239,wurlitzer-200a,Wurlitzer,200A,Electric pianos,legendary/public,core,core,"Retained. Gross-list family ""Wurlitzer 200 / 200A / 204"".",29,69,medium,12,43,4,"median 27532 DKK (p25 1781 / p75 40007, n=53)",22 deferrals (ambiguous_tie:19 non_product_intent:2); 0 rejected,200A only. The 200 and 204 in the same gross-list family are inseparable in current data and stay in reserve.,"Incumbent query. No CSP, no subcategory.","4 sources, 53 records, 27.5k median.","Leakage from 200/204 above 15%, or p25 staying below 20% of median.",gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0020,duplicate_consolidated,E-MU Systems SP-12 / SP-1200,7547ed8f-be71-4297-925d-09b90d428478,emu-sp-1200,E Mu,SP-1200,Drum machines & samplers,standard/qa_only,excluded,core,"NEW ENTRY from gross list ""E-MU Systems SP-12 / SP-1200"".",30,68,medium,12,7,1,"median 48501 DKK (p25 42094 / p75 58296, n=19)",1 deferrals (brand_mismatch:1); 58 rejected,SP-1200 only. SP-12 is the earlier machine in the same gross-list family and is materially different; not merged.,Not an incumbent. Reverb-only. Needs a query seed.,"19 records, very tight 42.1k-58.3k band. The reference hip-hop sampler.","SP-12 leakage above 10%, or supply below 8 for 90 days.","gross_list+klup_trusted+klup_dryrun+single_source_only+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0021,duplicate_consolidated,Tube-Tech CL 1B,85d39c38-0363-494a-a90b-28a57ea83334,tube-tech-cl1b,Tube-Tech,CL 1B,Studio outboard,standard/qa_only,excluded,core,"NEW ENTRY from gross list ""Tube-Tech CL 1B"".",31,68,medium,12,7,1,"median 34917 DKK (p25 27365 / p75 37417, n=19)",4 deferrals (shared_identifier_conflict:4); 1 rejected,CL 1B only. Distinct from CL 2A and the LCA 2B channel.,Not an incumbent. Reverb-only. Needs a query seed.,"19 records, tight 27.4k-37.4k band, ZERO deferral pressure and 1 rejection. Danish manufacturer - directly relevant to the DK market.",Supply below 8 for 90 days.,"gross_list+klup_trusted+klup_dryrun+single_source_only+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0022,duplicate_consolidated,Universal Audio 1176LN / 1176SE,9ece0f3a-f8d9-43dd-8667-d99c78eccac1,ua-1176ln,Universal Audio,1176LN,Studio outboard,standard/qa_only,core,core,"Retained. Gross-list family ""Universal Audio 1176LN / 1176SE"".",32,68,medium,25,14,1,"median 19428 DKK (p25 17145 / p75 32390, n=39)",3 deferrals (low_confidence:2 ambiguous_tie:1); 5 rejected,1176LN reissue line; 1176SE is in the same gross-list family. Vintage Rev A Bluestripe should split later.,Not an incumbent. Reverb-only. Needs a query seed.,"39 records, 19.4k median. The reference compressor.","Clone/""style"" leakage above 10%.","gross_list+klup_trusted+klup_dryrun+single_source_only+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0023,variant_split,Korg Mono/Poly,69e4e94d-cbb8-4a15-a6a3-3eb5a6558011,korg-mono-poly,Korg,MONO/POLY,Vintage synthesizers,standard/qa_only,reserve,core,"NEW ENTRY from gross list ""Korg Mono/Poly"".",35,66,medium,1,38,1,"median 13839 DKK (p25 10041 / p75 17458, n=39)",7 deferrals (ambiguous_tie:5 non_product_intent:2); 0 rejected,MONO/POLY only. Duplicate KG row korg-monopoly must be consolidated before launch. Distinct from Poly-61/Poly-800/Polysix.,Not an incumbent. Reverb-only. Needs a query seed.,"39 records, tight 10.0k-17.5k band, ZERO rejections.","Duplicate row not consolidated, or leakage from the Poly-6x line above 10%.","gross_list+klup_trusted+klup_dryrun+single_source_only+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0024,duplicate_consolidated,Korg Polysix,7d4b2240-0e63-4e29-897f-91e6688b826d,korg-polysix,Korg,PolySix,Vintage synthesizers,standard/qa_only,excluded,core,"NEW ENTRY from gross list ""Korg Polysix"".",36,66,medium,1,37,2,"median 11013 DKK (p25 8757 / p75 14811, n=38)",47 deferrals (ambiguous_tie:45 non_product_intent:2); 0 rejected,"Polysix only. Distinct from Poly-61, Poly-800 and Mono/Poly.",Not an incumbent; Finn evidence incidental. Needs a query seed.,"38 records, tight 8.8k-14.8k band across 2 sources.",Ambiguous ties against the Poly-6x line above 25%.,"gross_list+klup_trusted+klup_dryrun+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0025,duplicate_consolidated,Roland Jupiter-4,43e45ad9-67ec-4e6a-8eed-44feb5a14265,roland-jupiter-4,Roland,Jupiter-4,Vintage synthesizers,standard/qa_only,reserve,core,"PROMOTED from Prompt 03 reserve: on the gross list, and displaced guitar capacity.",37,66,medium,9,22,2,"median 36248 DKK (p25 26578 / p75 61504, n=31)",48 deferrals (ambiguous_tie:48); 0 rejected,Single page. Distinct from Jupiter-6/-8 and the Compuphonic badge variant.,Not an incumbent; DBA evidence incidental. Needs its own query seed.,"31 records, 26.6k-61.5k band. Genuine vintage classic on the gross list at a high value level.","IQR/median above 1.2 for 60 days, or parts share above 20%.","gross_list+klup_trusted+klup_dryrun+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0026,exact_match,Yamaha DX7 / DX7II,f68bc299-4ab7-401d-bef4-81126714eafc,yamaha-dx7,Yamaha,DX7,Vintage synthesizers,legendary/public,core,core,"Retained, but the DX7/DX7 II combine is REVERSED: they are now separate decisions.",39,65,medium,11,91,5,"median 3353 DKK (p25 551 / p75 5588, n=91)",11 deferrals (ambiguous_tie:11); 91 rejected,"DX7 (1983) ONLY. DX7 II is now a SEPARATE decision: kg row yamaha-dx7iid-dx7iifd exists and has ZERO observable supply, so it goes to reserve rather than sharing this page.",Incumbent query on all four marketplace scrapers; CSP set.,5 sources and 91 records - the widest reach in the cohort. Accepted with the highest contamination risk (p25 551 DKK = cartridges/ROM/cases).,Parts share above 20% after intent-guard tuning.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0027,duplicate_consolidated,Manley VOXBOX,00966076-422b-4494-95f3-2791e2364738,manley-voxbox,Manley,VOXBOX,Studio outboard,standard/qa_only,excluded,core,"NEW ENTRY from gross list ""Manley VOXBOX"".",41,63,medium,8,8,1,"median 28562 DKK (p25 25258 / p75 32384, n=16)",0 deferrals; 31 rejected,"VOXBOX channel strip only. Distinct from ELOP, Massive Passive and Variable Mu.",Not an incumbent. Reverb-only. Needs a query seed.,"16 records, tight 25.3k-32.4k band, ZERO deferrals.",Supply below 8 for 90 days.,"gross_list+klup_trusted+klup_dryrun+single_source_only+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0028,duplicate_consolidated,Roland TR-606,43df4ad3-ab37-47b7-be18-728fd7a63254,roland-tr-606,Roland,TR-606,Drum machines & samplers,standard/qa_only,excluded,core,"NEW ENTRY from gross list ""Roland TR-606"".",42,63,medium,9,32,1,"median 3887 DKK (p25 3109 / p75 4850, n=41)",1 deferrals (ambiguous_tie:1); 43 rejected,Single page. Distinct from TR-626 and the TB-303 it was sold alongside.,Not an incumbent. Reverb-only. Needs a query seed.,"41 records, tight 3.1k-4.9k band. Low value but unambiguous.",Supply below 10 for 90 days.,"gross_list+klup_trusted+klup_dryrun+single_source_only+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0029,duplicate_consolidated,Tube-Tech LCA 2B,f97c09ec-319d-4cec-9728-d4623d2347fe,tube-tech-lca-2b,Tube-Tech,LCA 2B,Studio outboard,standard/qa_only,excluded,core,"NEW ENTRY from gross list ""Tube-Tech LCA 2B"".",43,63,medium,7,3,1,"median 23386 DKK (p25 19110 / p75 30401, n=10)",0 deferrals; 0 rejected,LCA 2B only. Distinct from CL 1B and LCA 2A.,Not an incumbent. Reverb-only. Needs a query seed.,"10 records, 19.1k-30.4k band, ZERO deferrals and ZERO rejections.",Supply below 6 for 90 days.,"gross_list+klup_trusted+klup_dryrun+single_source_only+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0030,variant_split,Roland System-100 / 100M,98f1f0e1-fff5-4fad-b39c-f83ca2d4557f,roland-system-100,Roland,System 100,Vintage synthesizers,standard/qa_only,excluded,core,"NEW ENTRY from gross list ""Roland System-100 / 100M"".",45,62,low,0,25,1,"median 18754 DKK (p25 14900 / p75 27365, n=25)",0 deferrals; 0 rejected,SPLIT from System-100M. The 100 is semi-modular; the 100M is a modular rack system with a different buyer decision.,Not an incumbent. Reverb-only. Needs a query seed.,"25 records, 14.9k-27.4k band, ZERO deferrals and ZERO rejections. Zero trusted matches is why confidence is low.",Fails to convert proposals into trusted matches in the first cohort pass.,"gross_list+klup_trusted+klup_dryrun+single_source_only+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0031,duplicate_consolidated,Rupert Neve Designs Master Buss Processor,c9bf115a-2e11-4f35-8575-63437b376d04,neve-portico-ii-master-buss-processor,Neve,Portico II Master Buss Processor,Studio outboard,standard/qa_only,reserve,core,"PROMOTED from Prompt 03 reserve: on the gross list as ""Rupert Neve Designs Master Buss Processor"".",46,61,low,16,12,1,"median 30071 DKK (p25 25427 / p75 34327, n=28)",0 deferrals; 0 rejected,Portico II Master Buss Processor only. Distinct from the 1073 line and from vintage Neve.,Not an incumbent. Reverb-only; NO CSP. Needs a query seed.,"28 records, tight 25.4k-34.3k band, ZERO deferrals and ZERO rejections.",Supply below 8 for 90 days.,"gross_list+klup_trusted+klup_dryrun+single_source_only+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0032,exact_match,Moog Source,c407d5eb-6423-4854-bffe-4a0b1a519b34,moog-source,Moog,Source,Vintage synthesizers,standard/qa_only,excluded,core,"NEW ENTRY from gross list ""Moog Source"".",48,58,medium,14,0,1,"median 17149 DKK (p25 13604 / p75 21345, n=14)",39 deferrals (brand_mismatch:32 low_confidence:4); 33 rejected,Source only. Distinct from Rogue/Prodigy/Micromoog.,Not an incumbent. Reverb-only. Needs a query seed.,"14 trusted records, tight 13.6k-21.3k band.",Ambiguous ties against the Minimoog line above 25%.,"gross_list+klup_trusted+klup_dryrun+single_source_only+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0033,variant_split,Roland TR-707 / TR-727,a93f7164-b48b-4e66-8390-7e11d6093616,roland-tr-727,Roland,TR-727,Drum machines & samplers,standard/qa_only,excluded,reserve,Displaced in Prompt 04: zero trusted matches; outscored by guitar/bass challengers carrying Danish and German liquidity.,,58,low,0,16,2,"median 6154 DKK (p25 4956 / p75 6665, n=16)",1 deferrals (non_product_intent:1); 0 rejected,SPLIT from TR-707. Latin percussion voices; not interchangeable.,Not an incumbent; DBA evidence incidental. Needs a query seed.,"16 records, very tight 5.0k-6.7k band, 1 deferral. Zero trusted matches.",Fails to convert proposals into trusted matches.,"gross_list+klup_trusted+klup_dryrun+no_incumbent_query(nordic/de evidence unavailable, not zero)",gross_list_336,matchable_canonical_product,exact_kg_product,,,
CAND-0034,not_on_gross_list,,f0bf6aa4-4c4b-46e2-92da-d886110b4c53,strymon-timeline,Strymon,TimeLine,Tape echo & effects,classic/public,incumbent_removed,superseded_by_variant,Prompt 04: replaced by the more precise music-vertical overlay row 'Strymon TimeLine'. The Prompt 03A row treated the family label as a single product; the overlay resolves it to a navigation family plus concrete matchable children.,,64,medium,4,46,1,"median 2909 DKK (p25 2464 / p75 3190, n=50)",0 deferrals; 0 rejected,TimeLine only. NOT on the gross list.,Incumbent (classic tier).,"90 records with ZERO deferrals and ZERO rejections, but a 2,905 DKK median.",PROMOTE if pedals are confirmed as a launch category.,not_on_gross_list+klup_trusted+klup_dryrun+single_source_only+incumbent_query,gross_list_336,,exact_kg_product,,,
CAND-0035,duplicate_consolidated,Sequential Circuits Prophet-5,b8d862f4-de0a-495d-b1c4-262fb8b6b022,sequential-prophet-5,Sequential,Prophet-5,Vintage synthesizers,legendary/public,incumbent_removed,incumbent_removed,Unchanged from Prompt 03.,2,62,medium,8,80,4,"median 19434 DKK (p25 272 / p75 24585, n=87)",76 deferrals (ambiguous_tie:73 non_product_intent:2); 2 rejected,"SPLIT REQUIRED: vintage SCI Rev1-3 vs 2020 Rev4 reissue. The gross list names the SCI original specifically, which sharpens the requirement.",Incumbent query; CSP set.,"87 records across 4 sources but 76 deferrals and p25 272 DKK. A vintage Rev3 sells ~USD 5,000 above a Rev4.",PROMOTE when split into vintage and Rev4 pages with distinct query seeds.,gross_list+klup_trusted+klup_dryrun+incumbent_query,gross_list_336,,exact_kg_product,,,
