rank,canonical_product_id,slug,canonical_title,brand,category,parent_navigation_family,match_page_boundary,kg_prerequisite,support_state_target,visibility_target,monitoring_target,candidate_origin
36,7d4b2240-0e63-4e29-897f-91e6688b826d,korg-polysix,PolySix,Korg,Vintage synthesizers,,"Polysix only. Distinct from Poly-61, Poly-800 and Mono/Poly.",,supported,private,unchanged,gross_list_336
37,43e45ad9-67ec-4e6a-8eed-44feb5a14265,roland-jupiter-4,Jupiter-4,Roland,Vintage synthesizers,,Single page. Distinct from Jupiter-6/-8 and the Compuphonic badge variant.,,supported,private,unchanged,gross_list_336
38,,,Fender American Vintage '52 Telecaster,Fender,Electric guitars,Fender Telecaster,1952 reissue line.,create_kg_product_before_support,supported,private,unchanged,user_authoritative_addition
39,f68bc299-4ab7-401d-bef4-81126714eafc,yamaha-dx7,DX7,Yamaha,Vintage synthesizers,,"DX7 (1983) ONLY. DX7 II is now a SEPARATE decision: kg row yamaha-dx7iid-dx7iifd exists and has ZERO observable supply, so it goes to reserve rather than sharing this page.",,supported,private,unchanged,gross_list_336
40,,,Fender American Professional II Stratocaster,Fender,Electric guitars,Fender Stratocaster,Series named explicitly in title.,create_kg_product_before_support,supported,private,unchanged,user_authoritative_addition
41,00966076-422b-4494-95f3-2791e2364738,manley-voxbox,VOXBOX,Manley,Studio outboard,,"VOXBOX channel strip only. Distinct from ELOP, Massive Passive and Variable Mu.",,supported,private,unchanged,gross_list_336
42,43df4ad3-ab37-47b7-be18-728fd7a63254,roland-tr-606,TR-606,Roland,Drum machines & samplers,,Single page. Distinct from TR-626 and the TB-303 it was sold alongside.,,supported,private,unchanged,gross_list_336
43,f97c09ec-319d-4cec-9728-d4623d2347fe,tube-tech-lca-2b,LCA 2B,Tube-Tech,Studio outboard,,LCA 2B only. Distinct from CL 1B and LCA 2A.,,supported,private,unchanged,gross_list_336
44,3c46b0b4-e927-4938-8ff1-87a4b18aed0e,gibson-sg-standard-large-guard-with-maestro-vibrola,Gibson SG Standard,Gibson,Electric guitars,Gibson SG,Core model.,,supported,private,unchanged,user_authoritative_addition
45,98f1f0e1-fff5-4fad-b39c-f83ca2d4557f,roland-system-100,System 100,Roland,Vintage synthesizers,,SPLIT from System-100M. The 100 is semi-modular; the 100M is a modular rack system with a different buyer decision.,,supported,private,unchanged,gross_list_336
46,c9bf115a-2e11-4f35-8575-63437b376d04,neve-portico-ii-master-buss-processor,Portico II Master Buss Processor,Neve,Studio outboard,,Portico II Master Buss Processor only. Distinct from the 1073 line and from vintage Neve.,,supported,private,unchanged,gross_list_336
47,9493f297-b121-4d97-8e3b-f4a0b48797c5,fender-mustang-bass,Fender Mustang Bass,Fender,Bass guitars,Fender Mustang Bass,Short scale bass.,,supported,private,unchanged,assistant_obvious_challenger
48,c407d5eb-6423-4854-bffe-4a0b1a519b34,moog-source,Source,Moog,Vintage synthesizers,,Source only. Distinct from Rogue/Prodigy/Micromoog.,,supported,private,unchanged,gross_list_336
