candidate_id,source_origin,source_row_label,brand,family_or_model,hierarchy_role,reconciliation_state,kg_mapping,canonical_product_id,slug,final_decision,score,confidence,lifecycle_proposal,decision_reason
GL-0017,gross_list_336,Akai	MPC2000 / MPC2000XL,Akai,MPC2000XL,,variant_split,exact_kg_product,774716ff-a54a-4b8a-b619-64aa351ae635,akai-mpc2000xl,reserve,55,low,support=reserve;visibility=private;monitoring=none,Unchanged from Prompt 03.
GL-0018,gross_list_336,Akai	MPC2000 / MPC2000XL,Akai,MPC2000,,variant_split,exact_kg_product,5d19c42a-115c-4db8-bc60-28b3bc7117c3,akai-mpc2000,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0019,gross_list_336,Akai	S900 / S950,Akai,S900 / S950,,exact_match,exact_kg_product,ac39e5c6-43d2-46be-924e-0bdf69618177,akai-s900,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0020,gross_list_336,Akai	S1000 / S1100,Akai,S1000,,exact_match,exact_kg_product,b7780d4e-93af-4b42-9670-e8ef424ca019,akai-s1000,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0021,gross_list_336,Akai	S3000XL / S3200,Akai,S3000XL,,exact_match,exact_kg_product,52ef0bea-de40-4a85-b13c-66891140dd18,akai-s3000xl,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0022,gross_list_336,Alesis	Andromeda A6,Alesis,Andromeda A6,,exact_match,exact_kg_product,1615c4ea-15fb-4980-a1b9-279c1d343720,alesis-andromeda-a6,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0023,gross_list_336,Alesis	HR-16 / HR-16B,Alesis,HR-16,,exact_match,exact_kg_product,0e29d00c-cde0-4d7c-adec-ef41551d3585,alesis-hr-16,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0024,gross_list_336,Alesis	Quadrasynth,Alesis,Quadrasynth,,exact_match,exact_kg_product,fc308982-efe1-419e-80fa-3c1f05ca5d05,alesis-quadrasynth,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0025,gross_list_336,Alesis	SR-16,Alesis,SR-16 Drum Machine,,duplicate_consolidated,exact_kg_product,55b20d9e-bd91-426f-8d8e-7575cff4e40c,alesis-alesis-sr-16-drum-machine,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0026,gross_list_336,Alesis	SR-16,Alesis,SR-16,,duplicate_consolidated,exact_kg_product,bde486a8-c856-4780-8015-0465c8871771,alesis-sr-16,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0027,gross_list_336,Altec	1567A Tube Mixer,Altec,1567A Tube Mixer,,no_kg_match_brand_absent,no_kg_product,,,no_kg_product,,,registry_only:no_kg_row,"Gross-list family with no KG product; cannot be scraped, matched or priced today."
GL-0028,gross_list_336,Ampex	350 Tape Recorder,Ampex,350 Tape Recorder,,no_kg_match,no_kg_product,,,no_kg_product,,,registry_only:no_kg_row,"Gross-list family with no KG product; cannot be scraped, matched or priced today."
GL-0029,gross_list_336,Ampex	ATR-102,Ampex,ATR-102,,no_kg_match,no_kg_product,,,no_kg_product,,,registry_only:no_kg_row,"Gross-list family with no KG product; cannot be scraped, matched or priced today."
GL-0030,gross_list_336,AMS	DMX 15-80S,AMS,DMX 15-80S,,no_kg_match_brand_absent,no_kg_product,,,no_kg_product,,,registry_only:no_kg_row,"Gross-list family with no KG product; cannot be scraped, matched or priced today."
GL-0031,gross_list_336,AMS Neve	1073SPX,AMS Neve,1073SPX-D,,exact_match,exact_kg_product,964e93f7-41aa-403a-b163-2c1530cef0fd,neve-1073spx-d,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0032,gross_list_336,AMS Neve	1073DPX,AMS Neve,1073DPX,,no_kg_match,no_kg_product,,,no_kg_product,,,registry_only:no_kg_row,"Gross-list family with no KG product; cannot be scraped, matched or priced today."
GL-0033,gross_list_336,AMS Neve	33609/N,AMS Neve,33609/N,,no_kg_match,no_kg_product,,,no_kg_product,,,registry_only:no_kg_row,"Gross-list family with no KG product; cannot be scraped, matched or priced today."
GL-0034,gross_list_336,AMS Neve	8801,AMS Neve,8801,,duplicate_consolidated,exact_kg_product,0dd137f3-b10c-4831-921e-5fb6fa591489,neve-ams-neve-8801-channel-strip-2010s-blue,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0035,gross_list_336,AMS Neve	8801,AMS Neve,8801,,duplicate_consolidated,exact_kg_product,6761968e-f808-4801-8d49-7eba7a36e4da,neve-8801,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0036,gross_list_336,API	2500 / 2500+,API,2500 / 2500+,,duplicate_consolidated,exact_kg_product,39a4cc0c-304a-4e1d-8ef0-1de0d8d53a20,api-api-2500-stereo-bus-compressor,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0037,gross_list_336,API	2500 / 2500+,API,Audio 2500+ | Stereo Bus Compressor,,duplicate_consolidated,exact_kg_product,6570c0a5-71dc-43bc-a3f3-bcf5868a8e2a,api-api-audio-2500--stereo-bus-compressor,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0038,gross_list_336,API	2500 / 2500+,API,2500 / 2500+,,duplicate_consolidated,exact_kg_product,a5e1aff6-a6af-45b3-90d5-697065d093d9,api-api-2500-stereo-bus-compressor-2000-2019-black,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0039,gross_list_336,API	3124V,API,3124V,,exact_match,exact_kg_product,eb182774-52ef-4b1c-8c99-fa97ae36af54,api-api-3124v--4-channel-microphone-line-preamp,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0040,gross_list_336,API	550A,API,550A,,duplicate_consolidated,exact_kg_product,8c3117c6-baa7-42d4-8db6-aa85ce4a1a2c,api-550a,reserve,49,low,support=reserve;visibility=private;monitoring=none,"NEW from gross list ""API 550A""."
GL-0041,gross_list_336,API	550A,API,550A,,duplicate_consolidated,exact_kg_product,11b7e31d-0f6d-41bc-b983-e3cb17da05aa,api-api-audio-550a--500-series-3-band-equalizer--pro-audio-la,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0042,gross_list_336,API	550A,API,550A Stereo Pair,,duplicate_consolidated,exact_kg_product,560570cb-ae15-4cee-b0b3-49e3033e76eb,api-api-550a-stereo-pair,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0043,gross_list_336,API	550A,API,550A,,duplicate_consolidated,exact_kg_product,a70c33e1-0fe3-4025-9958-08342455d158,api-api-550a-vintage,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0044,gross_list_336,API	550A,API,Audio 550A 500 Series EQ,,duplicate_consolidated,exact_kg_product,ff3f7a20-78ca-404e-af32-fb4ae49f30d8,api-api-audio-550a-500-series-eq,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0045,gross_list_336,API	560,API,560,,exact_match,exact_kg_product,1b5fe55a-fd31-4d7c-be23-8d354f3a773d,api-api-audio-560--500-series-graphic-equalizer--pro-audio-la,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0046,gross_list_336,ARP	2500,ARP,2500,,duplicate_consolidated,exact_kg_product,34f78592-6031-4821-b27e-c3702fd76c5c,arp-2500,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0047,gross_list_336,ARP	2500,ARP,2500 Early 1970's,,duplicate_consolidated,exact_kg_product,7c4851ba-0841-4b3e-aa74-bdf292b0bd09,arp-arp-2500-early-1970s,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0048,gross_list_336,ARP	2600,ARP,ARP 2600,,duplicate_consolidated,exact_kg_product,94a1d89d-2bae-42c8-aeac-4706a7729eed,arp-2600,incumbent_removed,52,medium,support=reserve;visibility=private;monitoring=none,Unchanged from Prompt 03.
GL-0049,gross_list_336,ARP	2600,ARP,2600,,duplicate_consolidated,exact_kg_product,19b29210-02f2-4e95-b1b2-8bc25fe23460,arp-korg-arp-2600,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0050,gross_list_336,ARP	2600,ARP,Little Brother Analog Synthesizer Expander Module 1975-1977 for Odyssey Axxe 2600,,duplicate_consolidated; variant_split,exact_kg_product,4bc85194-bede-42d6-857f-24b03254c9c6,arp-arp-little-brother-analog-synthesizer-expander-module-1975-1977-for-odyssey-axxe-2600,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0051,gross_list_336,ARP	2600,ARP,2600,,duplicate_consolidated,exact_kg_product,578fa07f-879c-4942-b569-0ddf5c11334c,arp-arp-2600-modular-synthesizer-meticulously-refurbished-vintage-synth-dealer,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0052,gross_list_336,ARP	2600,ARP,3620 & 2600 with Road Case,,duplicate_consolidated,exact_kg_product,59414df1-905b-4cc9-8f44-024cf2adbf1c,arp-arp-3620--2600-with-road-case,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0053,gross_list_336,ARP	2600,ARP,2600,,duplicate_consolidated,exact_kg_product,69bedd7d-27cf-4aaa-a940-2f1468445dc0,arp-arp-2601-mkii-2600--3604-keyboard-1977-1979-black-orange,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0054,gross_list_336,ARP	2600,ARP,2600,,duplicate_consolidated,exact_kg_product,9ab11881-aba2-4766-8062-819713092ae2,arp-arp-2600-3620-keyboard-1970s-black,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0055,gross_list_336,ARP	2600,ARP,2600,,duplicate_consolidated,exact_kg_product,d31230ef-6147-4d7d-b28c-251f304e795c,arp-arp-2600-1973-grey-meanie,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0056,gross_list_336,ARP	2600,ARP,2600 - ORIGINAL - Pro-Serviced w/Restoration by Phil Cirocco,,duplicate_consolidated,exact_kg_product,dcfa3f1a-9c90-43d0-83f4-81e80bcd25b8,arp-arp-2600-original-pro-serviced-w-restoration-by-phil-cirocco,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0057,gross_list_336,ARP	Avatar,ARP,Avatar Monophonic Analog Synthesizer (Modified) w/ Road Case,,variant_split,exact_kg_product,05f50e72-ba07-4b7b-89a6-29ce7d5d6c79,arp-arp-avatar-monophonic-analog-synthesizer-modified-w-road-case,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0058,gross_list_336,ARP	Avatar,ARP,Avatar,,variant_split,exact_kg_product,423bce58-edb6-4560-9790-abc377540b8a,arp-avatar,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0059,gross_list_336,ARP	Avatar,ARP,AVATAR Synthesizer odyssey RESTORED only CV gate control VINTAGE SYNTH DEALR,,variant_split,exact_kg_product,4d26ff90-5431-493d-9e02-e1394b80ad37,arp-arp-avatar-synthesizer-odyssey-restored-only-cv-gate-control-vintage-synth-dealr,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0060,gross_list_336,ARP	Avatar,ARP,Avatar,,variant_split,exact_kg_product,9bc2b562-a3cb-4478-a1cf-7060ecf49393,arp-tested-working-arp-omni-2-1-avatar-power-supply-board-2,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0061,gross_list_336,ARP	Avatar,ARP,Avatar,,variant_split,exact_kg_product,b73a7e3b-afb3-4287-b514-550c85d159ee,arp-tested-working-arp-omni-2-1-avatar-power-supply-board-3,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0062,gross_list_336,ARP	Avatar,ARP,Avatar,,variant_split,exact_kg_product,ba441ce7-6627-408f-b3f8-aee9fed47988,arp-tested-working-arp-omni-2-1-avatar-power-supply-board-1,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0063,gross_list_336,ARP	Avatar,ARP,Avatar Hex Input Mixer by Series Circuits,,variant_split,exact_kg_product,ed3e16e0-cd7d-4846-80fa-c290cfdb742f,arp-arp-avatar-hex-input-mixer-by-series-circuits,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0064,gross_list_336,ARP	Axxe,ARP,Axxe,,duplicate_consolidated,exact_kg_product,31b86cbb-bef0-439f-8636-ced0dc51dfb7,arp-axxe,reserve,41,low,support=reserve;visibility=private;monitoring=none,"NEW from gross list ""ARP Axxe""."
GL-0065,gross_list_336,ARP	Axxe,ARP,Little Brother Analog Synthesizer Expander Module 1975-1977 for Odyssey Axxe 2600,,duplicate_consolidated; variant_split,exact_kg_product,4bc85194-bede-42d6-857f-24b03254c9c6,arp-arp-little-brother-analog-synthesizer-expander-module-1975-1977-for-odyssey-axxe-2600,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0066,gross_list_336,ARP	Axxe,ARP,Axxe,,duplicate_consolidated,exact_kg_product,191f9a3b-41e4-4c41-8c90-817e16d39ddf,arp-fully-restored-1979-arp-axxe-analog-mono-synth-usa-synthesizer-w-demo,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0067,gross_list_336,ARP	Axxe,ARP,Axxe,,duplicate_consolidated,exact_kg_product,372379c0-a5ec-4097-aa58-d7445a8a9826,arp-arp-axxe-monophonic-analog-synthesizer-1975-1978-black-gold,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0068,gross_list_336,ARP	Axxe,ARP,Axxe Monophonic Analog Synthesizer 1979 - 1981 - Black / Orange (serviced / warranty),,duplicate_consolidated,exact_kg_product,4660c436-68f2-49ab-b8d4-736d7d49d5ab,arp-arp-axxe-monophonic-analog-synthesizer-1979-1981-black-orange-serviced-warranty,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0069,gross_list_336,ARP	Axxe,ARP,Axxe 1970s - Black,,duplicate_consolidated,exact_kg_product,6bf78a99-f924-4234-86bd-bbb2c16dd22e,arp-arp-axxe-1970s-black,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0070,gross_list_336,ARP	Axxe,ARP,axxe mark 1 moog filter,,duplicate_consolidated,exact_kg_product,85c1d556-c142-4240-a3df-c93d8d785d4f,arp-arp-axxe-mark-1-moog-filter,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0071,gross_list_336,ARP	Axxe,ARP,Axxe,,duplicate_consolidated,exact_kg_product,8dfdbc0b-5fd7-4e42-adfa-c4fd70cb1ad2,arp-arp-axxe-modified-analog-synth-1979-1981-black-orange,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0072,gross_list_336,ARP	Axxe,ARP,Axxe,,duplicate_consolidated,exact_kg_product,de4c0040-d9d8-4e34-80e8-012c35ecee43,arp-arp-axxe-mk1-monophonic-analog-synthesizer-1975-1978-black-gold,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0073,gross_list_336,ARP	Odyssey,ARP,Little Brother Analog Synthesizer Expander Module 1975-1977 for Odyssey Axxe 2600,,duplicate_consolidated; variant_split,exact_kg_product,4bc85194-bede-42d6-857f-24b03254c9c6,arp-arp-little-brother-analog-synthesizer-expander-module-1975-1977-for-odyssey-axxe-2600,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0074,gross_list_336,ARP	Odyssey,ARP,AVATAR Synthesizer odyssey RESTORED only CV gate control VINTAGE SYNTH DEALR,,variant_split,exact_kg_product,4d26ff90-5431-493d-9e02-e1394b80ad37,arp-arp-avatar-synthesizer-odyssey-restored-only-cv-gate-control-vintage-synth-dealr,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0075,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,058417ac-05c4-4fc2-9e79-5e4896455dcd,arp-arp-odyssey-mk-ii-2813-with-sub-oscillator-kit-installed,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0076,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,106e0f92-49d2-4589-9c23-821650688c85,arp-arp-2800-odyssey-mark-ii-monophonic-vintage-analog-synthesizer,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0077,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,26d5edbc-008b-4895-ad0b-994775eb0bdb,arp-arp-2800-odyssey-mark-i-monophonic-analog-synthesizer-4023-filter-black-gold-serviced,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0078,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,2f111942-2641-4def-93be-847e77b4a5f7,arp-arp-odyssey-2813-original-made-in-the-usa-pro-serviced-w-restoration-by-phil-cirocco,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0079,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,396e435d-26c7-4229-969f-382452341e15,arp-korg-arp-odyssey-fs-k3-analog-synth-diy-kit,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0080,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,39ac1bf8-5f2d-4bc7-b139-a7f8b6aa2e46,arp-rare-arp-odyssey-mki-2800-gold-and-black-serviced,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0081,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,3ccf3aef-a7f9-4200-bf0a-52fad3b10793,arp-arp-2823-odyssey-monophonic-analog-synthesizer-1979-1981-black-orange,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0082,gross_list_336,ARP	Odyssey,ARP,Odyssey MKI 2800 1974 Black & Gold Modified & Restored,,variant_split,exact_kg_product,4bbcddd1-52b5-4f98-bbde-aa23c0eeb305,arp-arp-odyssey-mki-2800-1974-black--gold-modified--restored,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0083,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,518cbf42-0f79-4b97-abe3-fc0feb7eba84,arp-vintage-arp-odyssey-mkii-2813--pratt-read-keyboard-1975,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0084,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,55c28cf7-8635-45e1-8c1d-b5dcaf3ff353,arp-used-set-of-34-original-arp-odyssey-mk-iii-2823-sliders-for-refurbishing-parts-repair,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0085,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,569e95fb-a4c2-4ed7-8315-922dfc802f66,arp-arp-odyssey-mkii-2810--black--gold--vintage-analog-synthesizer-w-4035-filter,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0086,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,619cf153-ee3b-4e05-8145-df29e6607162,arp-arp-arp-odyssey-fs-analog-synth-diy-kit-2023,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0087,gross_list_336,ARP	Odyssey,ARP,Odyssey Mk I Model 2800 1974 - White,,variant_split,exact_kg_product,694553e9-7550-4e18-8963-d3c84ca882cc,arp-arp-odyssey-mk-i-model-2800-1974-white,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0088,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,6eecb00f-623b-4fda-b022-f2ed98564b5e,arp-fully-restored-1978-arp-odyssey-iii-2823,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0089,gross_list_336,ARP	Odyssey,ARP,2823 Odyssey Mark III Monophonic Analog Synthesizer 1979 - 1981 - Black / Orange,,variant_split,exact_kg_product,922828d3-c1fe-4ae7-90e8-419471eb2b88,arp-arp-2823-odyssey-mark-iii-monophonic-analog-synthesizer-1979-1981-black-orange,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0090,gross_list_336,ARP	Odyssey,ARP,2813 Odyssey Mark II (Vintage),,variant_split,exact_kg_product,93fe42fb-40e5-4f40-8e20-66d85dd9e8d7,arp-arp-2813-odyssey-mark-ii-vintage,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0091,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,b8bca0ab-a6ef-4dd6-bcb1-731ef112a3c0,arp-arp-odyssey-mkiii-2823,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0092,gross_list_336,ARP	Odyssey,ARP,Odyssey MKII 2813,,variant_split,exact_kg_product,bfaa7d03-48bb-4408-b580-cf2281f4adc9,arp-arp-odyssey-mkii-2813,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0093,gross_list_336,ARP	Odyssey,ARP,Odyssey,,variant_split,exact_kg_product,d3abe1ce-c70c-43bf-b204-cd8d3944fc9b,arp-vintage-arp-odyssey-mkii-2813--case-only,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
GL-0094,gross_list_336,ARP	Odyssey,ARP,Odyssey FS Analog Synthesizer DIY Kit Regular,,variant_split,exact_kg_product,d9ee2ee9-917e-4c32-8b47-ad00821f3703,arp-arp-odyssey-fs-analog-synthesizer-diy-kit-regular,excluded,,,support=known;visibility=private;monitoring=none,Mapped from gross list in 03A; not previously reconciled.
